sample	old_sample_number	transfer_volume	replicate	prey_history	predator_history	time_days
HAMBI0559	559	18uL	E	ANC	EVO	0
HAMBI0618	618	18uL	E	ANC	EVO	4
HAMBI0630	630	18uL	E	ANC	EVO	8
HAMBI0642	642	18uL	E	ANC	EVO	12
HAMBI0654	654	18uL	E	ANC	EVO	16
HAMBI0666	666	18uL	E	ANC	EVO	20
HAMBI0066	66	18uL	E	ANC	EVO	24
HAMBI0078	78	18uL	E	ANC	EVO	28
HAMBI0294	294	18uL	E	ANC	EVO	32
HAMBI0306	306	18uL	E	ANC	EVO	36
HAMBI0318	318	18uL	E	ANC	EVO	40
HAMBI0330	330	18uL	E	ANC	EVO	44
HAMBI0450	450	18uL	E	ANC	EVO	48
HAMBI0486	486	18uL	E	ANC	EVO	52
HAMBI0498	498	18uL	E	ANC	EVO	56
HAMBI0582	582	18uL	E	ANC	EVO	60
HAMBI0559	559	18uL	A	ANC	no_predator	0
HAMBI0085	85	18uL	A	ANC	no_predator	12
HAMBI0091	91	18uL	A	ANC	no_predator	28
HAMBI0678	678	18uL	A	ANC	no_predator	44
HAMBI0619	619	18uL	A	ANC	no_predator	60
HAMBI0559	559	18uL	C	ANC	no_predator	0
HAMBI0086	86	18uL	C	ANC	no_predator	12
HAMBI0092	92	18uL	C	ANC	no_predator	28
HAMBI0470	470	18uL	C	ANC	no_predator	44
HAMBI0620	620	18uL	C	ANC	no_predator	60
HAMBI0559	559	18uL	E	ANC	no_predator	0
HAMBI0087	87	18uL	E	ANC	no_predator	12
HAMBI0093	93	18uL	E	ANC	no_predator	28
HAMBI0471	471	18uL	E	ANC	no_predator	44
HAMBI0621	621	18uL	E	ANC	no_predator	60
HAMBI0661	661	18uL	A	EVO	ANC	0
HAMBI0007	7	18uL	A	EVO	ANC	4
HAMBI0019	19	18uL	A	EVO	ANC	8
HAMBI0031	31	18uL	A	EVO	ANC	12
HAMBI0043	43	18uL	A	EVO	ANC	16
HAMBI0770	770	18uL	A	EVO	ANC	20
HAMBI0067	67	18uL	A	EVO	ANC	24
HAMBI0079	79	18uL	A	EVO	ANC	28
HAMBI0295	295	18uL	A	EVO	ANC	32
HAMBI0307	307	18uL	A	EVO	ANC	36
HAMBI0319	319	18uL	A	EVO	ANC	40
HAMBI0331	331	18uL	A	EVO	ANC	44
HAMBI0451	451	18uL	A	EVO	ANC	48
HAMBI0487	487	18uL	A	EVO	ANC	52
HAMBI0499	499	18uL	A	EVO	ANC	56
HAMBI0583	583	18uL	A	EVO	ANC	60
HAMBI0662	662	18uL	C	EVO	ANC	0
HAMBI0769	769	18uL	C	EVO	ANC	4
HAMBI0020	20	18uL	C	EVO	ANC	8
HAMBI0032	32	18uL	C	EVO	ANC	12
HAMBI0044	44	18uL	C	EVO	ANC	16
HAMBI0056	56	18uL	C	EVO	ANC	20
HAMBI0068	68	18uL	C	EVO	ANC	24
HAMBI0080	80	18uL	C	EVO	ANC	28
HAMBI0296	296	18uL	C	EVO	ANC	32
HAMBI0308	308	18uL	C	EVO	ANC	36
HAMBI0320	320	18uL	C	EVO	ANC	40
HAMBI0332	332	18uL	C	EVO	ANC	44
HAMBI0452	452	18uL	C	EVO	ANC	48
HAMBI0488	488	18uL	C	EVO	ANC	52
HAMBI0500	500	18uL	C	EVO	ANC	56
HAMBI0584	584	18uL	C	EVO	ANC	60
HAMBI0663	663	18uL	E	EVO	ANC	0
HAMBI0009	9	18uL	E	EVO	ANC	4
HAMBI0021	21	18uL	E	EVO	ANC	8
HAMBI0033	33	18uL	E	EVO	ANC	12
HAMBI0045	45	18uL	E	EVO	ANC	16
HAMBI0057	57	18uL	E	EVO	ANC	20
HAMBI0069	69	18uL	E	EVO	ANC	24
HAMBI0081	81	18uL	E	EVO	ANC	28
HAMBI0297	297	18uL	E	EVO	ANC	32
HAMBI0309	309	18uL	E	EVO	ANC	36
HAMBI0321	321	18uL	E	EVO	ANC	40
HAMBI0333	333	18uL	E	EVO	ANC	44
HAMBI0453	453	18uL	E	EVO	ANC	48
HAMBI0489	489	18uL	E	EVO	ANC	52
HAMBI0501	501	18uL	E	EVO	ANC	56
HAMBI0585	585	18uL	E	EVO	ANC	60
HAMBI0661	661	18uL	A	EVO	EVO	0
HAMBI0010	10	18uL	A	EVO	EVO	4
HAMBI0022	22	18uL	A	EVO	EVO	8
HAMBI0034	34	18uL	A	EVO	EVO	12
HAMBI0046	46	18uL	A	EVO	EVO	16
HAMBI0058	58	18uL	A	EVO	EVO	20
HAMBI0070	70	18uL	A	EVO	EVO	24
HAMBI0082	82	18uL	A	EVO	EVO	28
HAMBI0682	682	18uL	A	EVO	EVO	32
HAMBI0694	694	18uL	A	EVO	EVO	36
HAMBI0706	706	18uL	A	EVO	EVO	40
HAMBI0718	718	18uL	A	EVO	EVO	44
HAMBI0454	454	18uL	A	EVO	EVO	48
HAMBI0490	490	18uL	A	EVO	EVO	52
HAMBI0502	502	18uL	A	EVO	EVO	56
HAMBI0586	586	18uL	A	EVO	EVO	60
HAMBI0662	662	18uL	C	EVO	EVO	0
HAMBI0011	11	18uL	C	EVO	EVO	4
HAMBI0023	23	18uL	C	EVO	EVO	8
HAMBI0035	35	18uL	C	EVO	EVO	12
HAMBI0047	47	18uL	C	EVO	EVO	16
HAMBI0059	59	18uL	C	EVO	EVO	20
HAMBI0071	71	18uL	C	EVO	EVO	24
HAMBI0083	83	18uL	C	EVO	EVO	28
HAMBI0299	299	18uL	C	EVO	EVO	32
HAMBI0311	311	18uL	C	EVO	EVO	36
HAMBI0323	323	18uL	C	EVO	EVO	40
HAMBI0335	335	18uL	C	EVO	EVO	44
HAMBI0455	455	18uL	C	EVO	EVO	48
HAMBI0491	491	18uL	C	EVO	EVO	52
HAMBI0503	503	18uL	C	EVO	EVO	56
HAMBI0587	587	18uL	C	EVO	EVO	60
HAMBI0663	663	18uL	E	EVO	EVO	0
HAMBI0012	12	18uL	E	EVO	EVO	4
HAMBI0024	24	18uL	E	EVO	EVO	8
HAMBI0036	36	18uL	E	EVO	EVO	12
HAMBI0048	48	18uL	E	EVO	EVO	16
HAMBI0060	60	18uL	E	EVO	EVO	20
HAMBI0072	72	18uL	E	EVO	EVO	24
HAMBI0084	84	18uL	E	EVO	EVO	28
HAMBI0300	300	18uL	E	EVO	EVO	32
HAMBI0312	312	18uL	E	EVO	EVO	36
HAMBI0324	324	18uL	E	EVO	EVO	40
HAMBI0336	336	18uL	E	EVO	EVO	44
HAMBI0456	456	18uL	E	EVO	EVO	48
HAMBI0492	492	18uL	E	EVO	EVO	52
HAMBI0504	504	18uL	E	EVO	EVO	56
HAMBI0588	588	18uL	E	EVO	EVO	60
HAMBI0661	661	18uL	A	EVO	no_predator	0
HAMBI0088	88	18uL	A	EVO	no_predator	12
HAMBI0094	94	18uL	A	EVO	no_predator	28
HAMBI0472	472	18uL	A	EVO	no_predator	44
HAMBI0622	622	18uL	A	EVO	no_predator	60
HAMBI0662	662	18uL	C	EVO	no_predator	0
HAMBI0089	89	18uL	C	EVO	no_predator	12
HAMBI0095	95	18uL	C	EVO	no_predator	28
HAMBI0738	738	18uL	C	EVO	no_predator	44
HAMBI0623	623	18uL	C	EVO	no_predator	60
HAMBI0663	663	18uL	E	EVO	no_predator	0
HAMBI0090	90	18uL	E	EVO	no_predator	12
HAMBI0096	96	18uL	E	EVO	no_predator	28
HAMBI0474	474	18uL	E	EVO	no_predator	44
HAMBI0624	624	18uL	E	EVO	no_predator	60
