time_days	replicate	transfer_volume	prey_history	predator_history	cells_mL
56	F	180uL	EVO	ANC	37342.80
60	A	180uL	EVO	ANC	10938.80
60	B	180uL	EVO	ANC	12636.20
60	C	180uL	EVO	ANC	11504.60
60	D	180uL	EVO	ANC	9618.60
60	E	180uL	EVO	ANC	7544.00
60	F	180uL	EVO	ANC	13767.80
4	A	1800uL	EVO	ANC	26592.60
4	B	1800uL	EVO	ANC	25838.20
4	C	1800uL	EVO	ANC	28478.60
4	D	1800uL	EVO	ANC	36399.80
4	E	1800uL	EVO	ANC	33382.20
4	F	1800uL	EVO	ANC	44321.00
8	A	1800uL	EVO	ANC	11127.40
8	B	1800uL	EVO	ANC	9241.40
8	C	1800uL	EVO	ANC	11693.20
8	D	1800uL	EVO	ANC	15842.40
8	E	1800uL	EVO	ANC	14333.60
8	F	1800uL	EVO	ANC	10750.20
12	A	1800uL	EVO	ANC	13956.40
12	B	1800uL	EVO	ANC	9618.60
12	C	1800uL	EVO	ANC	11316.00
12	D	1800uL	EVO	ANC	15088.00
12	E	1800uL	EVO	ANC	12259.00
12	F	1800uL	EVO	ANC	11316.00
16	A	1800uL	EVO	ANC	6186.80
16	B	1800uL	EVO	ANC	4715.00
16	C	1800uL	EVO	ANC	7355.40
16	D	1800uL	EVO	ANC	9430.00
16	E	1800uL	EVO	ANC	13579.20
16	F	1800uL	EVO	ANC	7732.60
20	A	1800uL	EVO	ANC	3394.80
20	B	1800uL	EVO	ANC	6223.80
20	C	1800uL	EVO	ANC	3394.80
20	D	1800uL	EVO	ANC	7166.80
20	E	1800uL	EVO	ANC	3960.60
20	F	1800uL	EVO	ANC	5846.60
24	A	1800uL	EVO	ANC	11693.20
24	B	1800uL	EVO	ANC	10750.20
24	C	1800uL	EVO	ANC	10561.60
24	D	1800uL	EVO	ANC	6978.20
24	E	1800uL	EVO	ANC	5280.80
24	F	1800uL	EVO	ANC	5658.00
28	A	1800uL	EVO	ANC	20557.40
28	B	1800uL	EVO	ANC	26781.20
28	C	1800uL	EVO	ANC	15276.60
28	D	1800uL	EVO	ANC	13579.20
