species	tetrahymena	bacteria_history	replicate	auc_log	gr	k_lin	OD_Min	OD_Max
HAMBI1988	no	evo	A	18.253459244208987	0.05104329121995671	0.22956491087057332	0.093	0.324
HAMBI1988	no	evo	B	18.12505234113774	0.05178701472171589	0.2376161653704829	0.093	0.33299999999999996
HAMBI1988	no	evo	C	13.632291822893126	0.05367828962619601	0.18455612374583613	0.095	0.282
HAMBI1988	no	evo	D	5.864359234660196	0.05496010298775374	0.10667063923021047	0.09	0.201
HAMBI1988	no	evo	E	8.281298698284537	0.05766282566510924	0.13494619798067886	0.092	0.23
HAMBI1988	no	evo	F	26.580276632314195	0.0421891126836174	0.26613742971526205	0.092	0.361
HAMBI1988	no	evo	G	32.91615504229293	0.04221357797409102	0.2828422859652888	0.092	0.379
HAMBI1988	no	evo	H	37.73470001888903	0.04252932557065922	0.2921785617680923	0.092	0.388
HAMBI2159	no	evo	A	144.1052112439038	0.1353378160732209	0.6165743488044935	0.091	0.7120000000000001
HAMBI2159	no	evo	B	144.13179563200197	0.13534657390931565	0.6160794737852289	0.092	0.711
HAMBI2159	no	evo	C	143.32810125520442	0.14013354756529575	0.6198059341475816	0.092	0.715
HAMBI2159	no	evo	D	145.30134811900044	0.14387201657757454	0.6260637180432491	0.091	0.721
HAMBI2159	no	evo	E	145.27599143814717	0.1504660089732735	0.632844737790849	0.093	0.728
HAMBI2159	no	evo	F	145.942306275727	0.15164956091510337	0.6407975230474499	0.091	0.7340000000000001
HAMBI2159	no	evo	G	145.08680661466065	0.14143834548052484	0.6385065159236323	0.093	0.7340000000000001
HAMBI2159	no	evo	H	142.76475427207131	0.13478510210489292	0.6125432206890711	0.094	0.7090000000000001
HAMBI2160	no	evo	A	90.69258569979476	0.1408423446471975	0.24692234278888792	0.094	0.342
HAMBI2160	no	evo	B	90.87413020451083	0.14532516700097414	0.2483327720308804	0.093	0.34299999999999997
HAMBI2160	no	evo	C	92.93217027212371	0.14620899563926434	0.2595410345626641	0.097	0.358
HAMBI2160	no	evo	D	91.4061640553494	0.15045865052585583	0.2541748731017097	0.097	0.35200000000000004
HAMBI2160	no	evo	E	92.55312609738708	0.14980508259785	0.2535307476878448	0.096	0.35
HAMBI2160	no	evo	F	95.0963746338874	0.15713085608588034	0.2656303805324556	0.095	0.362
HAMBI2160	no	evo	G	93.34212993156292	0.1507192953943214	0.2690832296437369	0.097	0.3670000000000001
HAMBI2160	no	evo	H	79.6632595754842	0.16435488883635366	0.21352763059387905	0.091	0.308
HAMBI2164	no	evo	A	76.35541969612696	0.07892160564479103	0.2468719704947206	0.093	0.341
HAMBI2164	no	evo	B	83.76643708208017	0.08383508766174798	0.2842783825692985	0.092	0.381
HAMBI2164	no	evo	C	80.15887925490405	0.08731866121161456	0.27262851862695536	0.093	0.371
HAMBI2164	no	evo	D	82.19786787181656	0.0824069499045698	0.2703139870832031	0.092	0.365
HAMBI2164	no	evo	E	82.02934898473214	0.0827722787476349	0.2656197637333137	0.092	0.361
HAMBI2164	no	evo	F	80.09374120485131	0.08650461084547038	0.263949233661907	0.092	0.359
HAMBI2164	no	evo	G	78.29782853437628	0.09157866170885344	0.2510909974816537	0.093	0.348
HAMBI2164	no	evo	H	83.4944235301361	0.09444304444414128	0.279188695779323	0.091	0.374
HAMBI2494	no	evo	A	129.10105626792665	0.125456181150961	0.5644619061110283	0.092	0.66
HAMBI2494	no	evo	B	129.4901488294152	0.13633721480383254	0.5756055409342974	0.09	0.669
HAMBI2494	no	evo	C	128.3198394034874	0.13130600074472212	0.5682762732305646	0.094	0.665
HAMBI2494	no	evo	D	130.58225339933912	0.13108316746377918	0.5629110257415872	0.094	0.6579999999999999
HAMBI2494	no	evo	E	129.4918768755274	0.12154162189025848	0.5571871561668635	0.095	0.653
HAMBI2494	no	evo	F	127.48543918115196	0.11933951936060884	0.5515032954979646	0.094	0.648
HAMBI2494	no	evo	G	127.06168721640132	0.12026371644092154	0.554623931715932	0.095	0.652
HAMBI2494	no	evo	H	126.36145216419244	0.12296327394317898	0.5588318741352271	0.097	0.657
HAMBI2443	no	evo	A	55.64059278083252	0.06201773278027886	0.3263110529745351	0.094	0.423
HAMBI2443	no	evo	B	59.90887017266314	0.06375706605262081	0.333985770254918	0.093	0.4320000000000001
HAMBI2443	no	evo	C	58.23109942243619	0.06534971108629918	0.3467375273363236	0.096	0.445
HAMBI2443	no	evo	D	55.145245178301	0.05530369248828908	0.3429223650088339	0.092	0.439
HAMBI2443	no	evo	E	58.77636898938234	0.06594386003402224	0.37354183312438016	0.092	0.467
HAMBI2443	no	evo	F	56.55825307310237	0.06864667484696249	0.3239163309442307	0.092	0.419
HAMBI2443	no	evo	G	62.70464924061714	0.0564529118298599	0.3294254479427922	0.094	0.425
HAMBI2443	no	evo	H	62.53391095824259	0.06888184808834551	0.340547404460806	0.093	0.435
HAMBI2659	no	evo	A	101.74721442953052	0.16969907414483076	0.24347059903639232	0.094	0.33899999999999997
HAMBI2659	no	evo	B	98.7697522509281	0.17651153910867914	0.2381537688503238	0.094	0.33399999999999996
HAMBI2659	no	evo	C	101.738505048082	0.17354667925911907	0.24313240406427392	0.094	0.33899999999999997
HAMBI2659	no	evo	D	103.97237646536726	0.1584853048967968	0.2527594238911153	0.093	0.34700000000000003
HAMBI2659	no	evo	E	104.34214659298206	0.17032785473801604	0.2553668903384686	0.093	0.35100000000000003
HAMBI2659	no	evo	F	105.44608961239943	0.15250714746439242	0.27051944451332044	0.092	0.365
HAMBI2659	no	evo	G	89.98266670459653	0.17116927054498002	0.1971032049743879	0.095	0.294
HAMBI2659	no	evo	H	100.26492752766302	0.16026401615418467	0.2366298472791652	0.093	0.33299999999999996
HAMBI2792	no	evo	A	88.79751914132115	0.14554242552218596	0.33890895535445964	0.093	0.436
