plate	well	incubation_length_hours	cloneOD	clone_plus_ciliateOD	prey	predator	replicate	ciliate_detected	experiment_day			OD difference	Defence
plate10	H08	48	0.187	0.15	Evolved Bacteria	Evolved Ciliates	3	FALSE	8			0.037	0.963
plate10	H09	48	0.225	0.06	Evolved Bacteria	Evolved Ciliates	3	TRUE	8			0.165	0.835
plate10	H10	48	0.228	0.236	Evolved Bacteria	Evolved Ciliates	3	FALSE	8			-0.008	1.008
plate10	H11	48	0.215	0.241	Evolved Bacteria	Evolved Ciliates	3	FALSE	8			-0.026	1.026
plate10	H12	48	0.555	0.043	Evolved Bacteria	Evolved Ciliates	3	FALSE	8			0.512	0.488
plate11	A01	48	0.594	0.284	Evolved Bacteria	Evolved Ciliates	5	FALSE	8			0.31	0.69
plate11	A02	48	0.308	0.219	Evolved Bacteria	Evolved Ciliates	5	FALSE	8			0.089	0.911
plate11	A03	48	0.26	0.2	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			0.06	0.94
plate11	A04	48	0.255	0.237	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			0.018	0.982
plate11	A05	48	0.249	0.452	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			-0.203	1.203
plate11	A06	48	0.109	0.099	Evolved Bacteria	Evolved Ciliates	5	FALSE	8			0.01	0.99
plate11	A07	48	0.548	0.058	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			0.49	0.51
plate11	A08	48	0.253	0.134	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			0.119	0.881
plate11	A09	48	0.117	0.113	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			0.004	0.996
plate11	A10	48	0.406	0.053	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			0.353	0.647
plate11	A11	48	0.315	0.067	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			0.248	0.752
plate11	A12	48	0.562	0.496	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			0.066	0.934
plate11	B01	48	0.113	0.093	Evolved Bacteria	Evolved Ciliates	5	FALSE	8			0.02	0.98
plate11	B02	48	0.351	0.409	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			-0.058	1.058
plate11	B03	48	0.178	0.133	Evolved Bacteria	Evolved Ciliates	5	FALSE	8			0.045	0.955
plate11	B04	48	0.269	0.286	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			-0.017	1.017
plate11	B05	48	0.277	0.311	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			-0.034	1.034
plate11	B06	48	0.251	0.319	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			-0.068	1.068
plate11	B07	48	0.175	0.119	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			0.056	0.944
plate11	B08	48	0.471	0.055	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			0.416	0.584
plate11	B09	48	0.17	0.048	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			0.122	0.878
plate11	B10	48	0.193	0.085	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			0.108	0.892
plate11	B11	48	0.249	0.107	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			0.142	0.858
plate11	B12	48	0.313	0.386	Evolved Bacteria	Evolved Ciliates	5	TRUE	8			-0.073	1.073
plate11	C01	48	0.568	0.534	Evolved Bacteria	Evolved Ciliates	1	FALSE	28			0.034	0.966
plate11	C02	48	0.623	0.422	Evolved Bacteria	Evolved Ciliates	1	FALSE	28			0.201	0.799
plate11	C03	48	0.584	0.405	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.179	0.821
plate11	C04	48	0.354	0.316	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.038	0.962
plate11	C05	48	0.436	0.048	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.388	0.612
plate11	C06	48	0.28	0.047	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.233	0.767
plate11	C07	48	0.23	0.046	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.184	0.816
plate11	C08	48	0.457	0.047	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.41	0.59
plate11	C09	48	0.424	0.073	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.351	0.649
plate11	C10	48	0.425	0.045	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.38	0.62
plate11	C11	48	0.058	0.05	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.008	0.992
plate11	C12	48	0.252	0.046	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.206	0.794
plate11	D01	48	0.047	0.046	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.001	0.999
plate11	D02	48	0.436	0.043	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.393	0.607
plate11	D03	48	0.223	0.046	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.177	0.823
plate11	D04	48	0.307	0.048	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.259	0.741
plate11	D05	48	0.45	0.052	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.398	0.602
plate11	D06	48	0.249	0.276	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			-0.027	1.027
plate11	D07	48	0.234	0.063	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.171	0.829
plate11	D08	48	0.307	0.095	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.212	0.788
plate11	D09	48	0.447	0.046	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.401	0.599
plate11	D10	48	0.545	0.048	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.497	0.503
plate11	D11	48	0.505	0.053	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.452	0.548
plate11	D12	48	0.467	0.06	Evolved Bacteria	Evolved Ciliates	1	TRUE	28			0.407	0.593
plate11	E01	48	0.114	0.134	Evolved Bacteria	Evolved Ciliates	3	FALSE	28			-0.02	1.02
plate11	E02	48	0.11	0.12	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			-0.01	1.01
plate11	E03	48	0.297	0.171	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.126	0.874
plate11	E04	48	0.295	0.359	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			-0.064	1.064
plate11	E05	48	0.511	0.123	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.388	0.612
plate11	E06	48	0.447	0.058	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.389	0.611
plate11	E07	48	0.417	0.062	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.355	0.645
plate11	E08	48	0.073	0.106	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			-0.033	1.033
plate11	E09	48	0.163	0.063	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.1	0.9
plate11	E10	48	0.146	0.086	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.06	0.94
plate11	E11	48	0.18	0.086	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.094	0.906
plate11	E12	48	0.27	0.108	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.162	0.838
plate11	F01	48	0.187	0.163	Evolved Bacteria	Evolved Ciliates	3	FALSE	28			0.024	0.976
plate11	F02	48	0.252	0.123	Evolved Bacteria	Evolved Ciliates	3	FALSE	28			0.129	0.871
plate11	F03	48	0.231	0.289	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			-0.058	1.058
plate11	F04	48	0.632	0.054	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.578	0.422
plate11	F05	48	0.347	0.043	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.304	0.696
plate11	F06	48	0.093	0.148	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			-0.055	1.055
plate11	F07	48	0.165	0.077	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.088	0.912
plate11	F08	48	0.066	0.084	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			-0.018	1.018
plate11	F09	48	0.071	0.047	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.024	0.976
plate11	F10	48	0.116	0.105	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.011	0.989
plate11	F11	48	0.327	0.049	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.278	0.722
plate11	F12	48	0.266	0.051	Evolved Bacteria	Evolved Ciliates	3	TRUE	28			0.215	0.785
plate11	G01	48	0.281	0.441	Ancestral Bacteria	Evolved Ciliates	1	FALSE	60			-0.16	1.16
plate11	G02	48	0.379	0.277	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.102	0.898
plate11	G03	48	0.434	0.062	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.372	0.628
plate11	G04	48	0.567	0.256	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.311	0.689
plate11	G05	48	0.424	0.051	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.373	0.627
plate11	G06	48	0.373	0.094	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.279	0.721
plate11	G07	48	0.342	0.048	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.294	0.706
plate11	G08	48	0.299	0.047	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.252	0.748
plate11	G09	48	0.38	0.046	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.334	0.666
plate11	G10	48	0.38	0.05	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.33	0.67
plate11	G11	48	0.234	0.216	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.018	0.982
plate11	G12	48	0.296	0.097	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.199	0.801
plate11	H01	48	0.556	0.427	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.129	0.871
plate11	H02	48	0.419	0.224	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.195	0.805
plate11	H03	48	0.519	0.503	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.016	0.984
plate11	H04	48	0.502	0.127	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.375	0.625
plate11	H05	48	0.125	0.291	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			-0.166	1.166
plate11	H06	48	0.493	0.055	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.438	0.562
plate11	H07	48	0.372	0.045	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.327	0.673
plate11	H08	48	0.542	0.056	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.486	0.514
plate11	H09	48	0.376	0.045	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.331	0.669
plate11	H10	48	0.408	0.053	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.355	0.645
plate11	H11	48	0.404	0.046	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.358	0.642
plate11	H12	48	0.385	0.088	Ancestral Bacteria	Evolved Ciliates	1	TRUE	60			0.297	0.703
plate12	A01	48	0.035	0.382	Ancestral Bacteria	Evolved Ciliates	3	TRUE	60			-0.347	1.347
plate12	A02	48	0.179	0.239	Ancestral Bacteria	Evolved Ciliates	3	TRUE	60			-0.06	1.06
plate12	A03	48	0.519	0.496	Ancestral Bacteria	Evolved Ciliates	3	TRUE	60			0.023	0.977
plate12	A04	48	0.173	0.319	Ancestral Bacteria	Evolved Ciliates	3	FALSE	60			-0.146	1.146
